index,Name.x,Hall.of.Fame.Class,Year.Drafted,RGP,RMIN,RPTS,RFGM,RFGA,RFG.,RX3P.Made,RX3PA,RX3P.,RFTM,RFTA,RFT.,ROREB,RDREB,RREB,RAST,RSTL,RBLK,RTOV,REFF,HOF,birth_year,pos,age,experience,lg,tm,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
36,Kyle Macy,NA,1980,82,17.9,8.1,3.3,6.5,51.1,0.1,0.6,23.5,1.3,1.5,89.9,0.5,1.1,1.6,2,0.9,0.1,1.2,8.2,0,NA,PG,23,1,NBA,PHO,0.567,0.096,0.224,3.4,6.5,5,15.1,2.4,0.2,14,18,2.3,2.2,4.5,0.148,-0.2,1.1,0.8,1.1
37,Larry Drew,NA,1980,76,20.8,6.6,2.6,6.4,40.7,0.1,0.2,23.5,1.4,1.8,79.7,0.3,1.3,1.6,3.3,1.2,0.1,2.2,6.4,0,NA,PG,22,1,NBA,DET,0.464,0.035,0.275,1.7,7.5,4.4,22.7,2.6,0.3,23.4,18.1,-1.6,1.6,0,-0.001,-3.5,-0.2,-3.7,-0.7
38,Larry Smith,NA,1980,82,31.4,9.6,3.7,7.2,51.2,0,0,0,2.2,3.7,58.8,5.3,6.8,12.1,1.1,0.8,0.8,1.8,17.6,0,NA,PF,23,1,NBA,GSW,0.54,0,0.507,18.3,24.5,21.4,4.6,1.3,1.4,16.7,13.4,3.7,2.4,6.1,0.113,0.7,-1.2,-0.5,1
39,Lorenzo Romar,NA,1980,53,13.7,4.1,1.6,4,41.2,0,0.1,33.3,0.8,1.2,68.3,0.2,0.9,1.1,2.6,0.5,0.1,1,4.6,0,NA,PG,22,1,NBA,GSW,0.459,0.028,0.299,1.5,7.1,4.3,23.9,1.8,0.2,17.9,15.9,0.2,0.2,0.5,0.03,-1.8,-0.8,-2.7,-0.1
40,Louis Orr,NA,1980,82,21.8,10.5,4.2,8.6,49.1,0,0.1,0,2,2.5,80.7,2.1,2.3,4.4,1.6,0.7,0.3,1.5,11.1,0,NA,SF,22,1,NBA,IND,0.538,0.008,0.285,10.2,11.9,11,10.7,1.5,0.8,13.4,20.6,2.8,1.5,4.3,0.116,1.2,-1.2,0,0.9
41,Lowes Moore,NA,1980,71,19.8,7,3,6.7,44.4,0.1,0.4,14.8,1,1.3,75,0.6,1.8,2.4,3.2,0.9,0.2,1.5,8.1,0,NA,PG,23,1,NBA,NJN,0.479,0.056,0.192,3.4,10.3,6.7,22.3,2,0.7,17.2,17.6,0,1.1,1.1,0.037,-2.2,0.2,-2.1,0
42,Michael Brooks,NA,1980,82,30.2,14.7,6,12.4,47.9,0,0.1,0,2.8,3.9,70.6,2.6,2.8,5.4,2.5,1.2,0.4,2,14.6,0,NA,SF,22,1,NBA,SDC,0.519,0.006,0.314,9.4,11.4,10.4,12.3,1.9,0.7,12.3,21.7,3.2,1.7,4.9,0.095,0.9,-0.9,0,1.2
44,Mike Harper,NA,1980,55,8.4,2.7,1,2.5,41.2,0,0.1,0,0.7,1.5,43.5,0.5,1.2,1.7,0.3,0.4,0.4,0.6,2.6,0,NA,PF,23,1,NBA,POR,0.43,0.022,0.625,6.6,15.4,11,4.5,2.3,2.4,15.6,17.7,-0.6,0.6,0.1,0.006,-4.8,0.4,-4.4,-0.3
45,Mike Niles,NA,1980,44,5.3,2.6,1.1,3.1,34.8,0,0.1,50,0.4,0.8,45.9,0.6,0.7,1.3,0.3,0.2,0,0.6,1.4,0,NA,SF,25,1,NBA,PHO,0.373,0.029,0.268,12.6,15,13.8,9.3,1.6,0.2,13.9,30.3,-0.7,0.4,-0.3,-0.062,-6.7,-2.1,-8.8,-0.5
46,Mike O'Koren,NA,1980,79,31.3,11,4.6,9.5,48.6,0.1,0.2,27.8,1.7,2.7,63.7,2.3,3.8,6.1,3.2,1.1,0.3,1.9,14,0,NA,SF,22,1,NBA,NJN,0.515,0.024,0.282,8,14,10.9,14,1.6,0.6,14.7,15.8,1.9,2,3.8,0.075,-0.3,-0.1,-0.4,1
